gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
Solyc01g005430.2	Solyc01g005430.2.1	Solyc01g005430.2.1	K4ASB0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005440.2	Solyc01g005440.2.1	Solyc01g005440.2.1	K4ASB1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005450.2	Solyc01g005450.2.1	Solyc01g005450.2.1	K4ASB2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005460.2	Solyc01g005460.2.1	Solyc01g005460.2.1	K4ASB3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005470.2	Solyc01g005470.2.1	Solyc01g005470.2.1	K4ASB4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005480.2	Solyc01g005480.2.1	Solyc01g005480.2.1	K4ASB5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005500.2	Solyc01g005500.2.1	Solyc01g005500.2.1	K4ASB6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005510.2	Solyc01g005510.2.1	Solyc01g005510.2.1	K4ASB7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005520.2	Solyc01g005520.2.1	Solyc01g005520.2.1	K4ASB8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005530.2	Solyc01g005530.2.1	Solyc01g005530.2.1	K4ASB9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005540.2	Solyc01g005540.2.1	Solyc01g005540.2.1	K4ASC0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005550.2	Solyc01g005550.2.1	Solyc01g005550.2.1	K4ASC1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005560.2	Solyc01g005560.2.1	Solyc01g005560.2.1	K4ASC2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005570.2	Solyc01g005570.2.1	Solyc01g005570.2.1	K4ASC3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005580.2	Solyc01g005580.2.1	Solyc01g005580.2.1	K4ASC4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005590.2	Solyc01g005590.2.1	Solyc01g005590.2.1	K4ASC5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005600.2	Solyc01g005600.2.1	Solyc01g005600.2.1	K4ASC6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005610.2	Solyc01g005610.2.1	Solyc01g005610.2.1	K4ASC7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005620.2	Solyc01g005620.2.1	Solyc01g005620.2.1	K4ASC8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005630.1	Solyc01g005630.1.1	Solyc01g005630.1.1	K4ASC9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005640.2	Solyc01g005640.2.1	Solyc01g005640.2.1	K4ASD0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005650.1	Solyc01g005650.1.1	Solyc01g005650.1.1	K4ASD1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005660.1	Solyc01g005660.1.1	Solyc01g005660.1.1	K4ASD2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005670.2	Solyc01g005670.2.1	Solyc01g005670.2.1	K4ASD3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005680.2	Solyc01g005680.2.1	Solyc01g005680.2.1	K4ASD4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005690.2	Solyc01g005690.2.1	Solyc01g005690.2.1	K4ASD5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005700.2	Solyc01g005700.2.1	Solyc01g005700.2.1	K4ASD6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005710.2	Solyc01g005710.2.1	Solyc01g005710.2.1	K4ASD7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005720.2	Solyc01g005720.2.1	Solyc01g005720.2.1	K4ASD8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005730.2	Solyc01g005730.2.1	Solyc01g005730.2.1	K4ASD9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005740.2	Solyc01g005740.2.1	Solyc01g005740.2.1	K4ASE0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005750.1	Solyc01g005750.1.1	Solyc01g005750.1.1	K4ASE1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005760.2	Solyc01g005760.2.1	Solyc01g005760.2.1	K4ASE2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005770.2	Solyc01g005770.2.1	Solyc01g005770.2.1	K4ASE3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005780.1	Solyc01g005780.1.1	Solyc01g005780.1.1	Q9ZS81	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005790.1	Solyc01g005790.1.1	Solyc01g005790.1.1	K4ASE5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005800.2	Solyc01g005800.2.1	Solyc01g005800.2.1	K4ASE6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005810.2	Solyc01g005810.2.1	Solyc01g005810.2.1	K4ASE7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005820.2	Solyc01g005820.2.1	Solyc01g005820.2.1	K4ASE8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005830.2	Solyc01g005830.2.1	Solyc01g005830.2.1	K4ASE9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005840.2	Solyc01g005840.2.1	Solyc01g005840.2.1	K4ASF0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005850.1	Solyc01g005850.1.1	Solyc01g005850.1.1	K4ASF1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005860.2	Solyc01g005860.2.1	Solyc01g005860.2.1	K4ASF2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005870.1	Solyc01g005870.1.1	Solyc01g005870.1.1	K4ASF3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005880.1	Solyc01g005880.1.1	Solyc01g005880.1.1	K4ASF4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005890.1	Solyc01g005890.1.1	Solyc01g005890.1.1	K4ASF5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005900.2	Solyc01g005900.2.1	Solyc01g005900.2.1	K4ASF6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005910.2	Solyc01g005910.2.1	Solyc01g005910.2.1	K4ASF7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005920.2	Solyc01g005920.2.1	Solyc01g005920.2.1	K4ASF8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005930.2	Solyc01g005930.2.1	Solyc01g005930.2.1	K4ASF9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005940.2	Solyc01g005940.2.1	Solyc01g005940.2.1	K4ASG0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005950.2	Solyc01g005950.2.1	Solyc01g005950.2.1	K4ASG1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005960.2	Solyc01g005960.2.1	Solyc01g005960.2.1	K4ASG2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005970.2	Solyc01g005970.2.1	Solyc01g005970.2.1	K4ASG3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005980.2	Solyc01g005980.2.1	Solyc01g005980.2.1	K4ASG4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005990.2	Solyc01g005990.2.1	Solyc01g005990.2.1	K4ASG5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006000.2	Solyc01g006000.2.1	Solyc01g006000.2.1	K4ASG6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006010.2	Solyc01g006010.2.1	Solyc01g006010.2.1	K4ASG7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006020.2	Solyc01g006020.2.1	Solyc01g006020.2.1	K4ASG8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006030.2	Solyc01g006030.2.1	Solyc01g006030.2.1	K4ASG9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006040.2	Solyc01g006040.2.1	Solyc01g006040.2.1	K4ASH0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006050.2	Solyc01g006050.2.1	Solyc01g006050.2.1	K4ASH1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006060.2	Solyc01g006060.2.1	Solyc01g006060.2.1	K4ASH2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006070.2	Solyc01g006070.2.1	Solyc01g006070.2.1	K4ASH3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006080.1	Solyc01g006080.1.1	Solyc01g006080.1.1	K4ASH4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006090.2	Solyc01g006090.2.1	Solyc01g006090.2.1	K4ASH5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006100.2	Solyc01g006100.2.1	Solyc01g006100.2.1	K4ASH6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006110.2	Solyc01g006110.2.1	Solyc01g006110.2.1	K4ASH7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006120.2	Solyc01g006120.2.1	Solyc01g006120.2.1	K4ASH8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006130.2	Solyc01g006130.2.1	Solyc01g006130.2.1	K4ASH9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006140.2	Solyc01g006140.2.1	Solyc01g006140.2.1	K4ASI0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006150.2	Solyc01g006150.2.1	Solyc01g006150.2.1	K4ASI1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006160.2	Solyc01g006160.2.1	Solyc01g006160.2.1	K4ASI2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006170.2	Solyc01g006170.2.1	Solyc01g006170.2.1	K4ASI3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006180.2	Solyc01g006180.2.1	Solyc01g006180.2.1	K4ASI4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006190.2	Solyc01g006190.2.1	Solyc01g006190.2.1	K4ASI5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006200.2	Solyc01g006200.2.1	Solyc01g006200.2.1	K4ASI6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006210.2	Solyc01g006210.2.1	Solyc01g006210.2.1	K4ASI7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006220.2	Solyc01g006220.2.1	Solyc01g006220.2.1	K4ASI8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006230.2	Solyc01g006230.2.1	Solyc01g006230.2.1	K4ASI9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006240.2	Solyc01g006240.2.1	Solyc01g006240.2.1	K4ASJ0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006250.1	Solyc01g006250.1.1	Solyc01g006250.1.1	K4ASJ1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006260.2	Solyc01g006260.2.1	Solyc01g006260.2.1	K4ASJ2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006270.2	Solyc01g006270.2.1	Solyc01g006270.2.1	K4ASJ3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006280.2	Solyc01g006280.2.1	Solyc01g006280.2.1	K4ASJ4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006290.2	Solyc01g006290.2.1	Solyc01g006290.2.1	K4ASJ5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006300.2	Solyc01g006300.2.1	Solyc01g006300.2.1	K4ASJ6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006310.2	Solyc01g006310.2.1	Solyc01g006310.2.1	K4ASJ7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006320.2	Solyc01g006320.2.1	Solyc01g006320.2.1	K4ASJ8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006330.2	Solyc01g006330.2.1	Solyc01g006330.2.1	K4ASJ9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006340.2	Solyc01g006340.2.1	Solyc01g006340.2.1	K4ASK0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006350.2	Solyc01g006350.2.1	Solyc01g006350.2.1	K4ASK1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006360.2	Solyc01g006360.2.1	Solyc01g006360.2.1	K4ASK2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006370.2	Solyc01g006370.2.1	Solyc01g006370.2.1	K4ASK3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006380.2	Solyc01g006380.2.1	Solyc01g006380.2.1	K4ASK4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006390.2	Solyc01g006390.2.1	Solyc01g006390.2.1	Q9XG52	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006400.2	Solyc01g006400.2.1	Solyc01g006400.2.1	G8Z274	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006410.2	Solyc01g006410.2.1	Solyc01g006410.2.1	K4ASK7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006420.2	Solyc01g006420.2.1	Solyc01g006420.2.1	K4ASK8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006430.2	Solyc01g006430.2.1	Solyc01g006430.2.1	K4ASK9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006440.1	Solyc01g006440.1.1	Solyc01g006440.1.1	K4ASL0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006450.2	Solyc01g006450.2.1	Solyc01g006450.2.1	K4ASL1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006460.1	Solyc01g006460.1.1	Solyc01g006460.1.1	K4ASL2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006470.1	Solyc01g006470.1.1	Solyc01g006470.1.1	K4ASL3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006480.2	Solyc01g006480.2.1	Solyc01g006480.2.1	K4ASL4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006490.2	Solyc01g006490.2.1	Solyc01g006490.2.1	K4ASL5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006500.2	Solyc01g006500.2.1	Solyc01g006500.2.1	K4ASL6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006510.2	Solyc01g006510.2.1	Solyc01g006510.2.1	Q3C2L6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006520.2	Solyc01g006520.2.1	Solyc01g006520.2.1	K4ASL8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006530.1	Solyc01g006530.1.1	Solyc01g006530.1.1	K4ASL9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006540.2	Solyc01g006540.2.1	Solyc01g006540.2.1	K4ASM0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006550.2	Solyc01g006550.2.1	Solyc01g006550.2.1	K4ASM1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006560.2	Solyc01g006560.2.1	Solyc01g006560.2.1	C0KKU8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006570.1	Solyc01g006570.1.1	Solyc01g006570.1.1	K4ASM3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006580.2	Solyc01g006580.2.1	Solyc01g006580.2.1	K4ASM4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006590.1	Solyc01g006590.1.1	Solyc01g006590.1.1	K4ASM5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006600.1	Solyc01g006600.1.1	Solyc01g006600.1.1	K4ASM6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006610.1	Solyc01g006610.1.1	Solyc01g006610.1.1	K4ASM7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006620.2	Solyc01g006620.2.1	Solyc01g006620.2.1	K4ASM8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006630.2	Solyc01g006630.2.1	Solyc01g006630.2.1	K4ASM9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006640.1	Solyc01g006640.1.1	Solyc01g006640.1.1	K4ASN0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006650.1	Solyc01g006650.1.1	Solyc01g006650.1.1	K4ASN1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006660.1	Solyc01g006660.1.1	Solyc01g006660.1.1	K4ASN2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006670.2	Solyc01g006670.2.1	Solyc01g006670.2.1	K4ASN3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006680.2	Solyc01g006680.2.1	Solyc01g006680.2.1	K4ASN4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006690.2	Solyc01g006690.2.1	Solyc01g006690.2.1	K4ASN5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006700.2	Solyc01g006700.2.1	Solyc01g006700.2.1	K4ASN6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006710.2	Solyc01g006710.2.1	Solyc01g006710.2.1	K4ASN7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006720.2	Solyc01g006720.2.1	Solyc01g006720.2.1	K4ASN8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006730.2	Solyc01g006730.2.1	Solyc01g006730.2.1	K4ASN9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006740.2	Solyc01g006740.2.1	Solyc01g006740.2.1	K4ASP0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006750.2	Solyc01g006750.2.1	Solyc01g006750.2.1	K4ASP1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006760.2	Solyc01g006760.2.1	Solyc01g006760.2.1	K4ASP2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006770.1	Solyc01g006770.1.1	Solyc01g006770.1.1	K4ASP3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006780.2	Solyc01g006780.2.1	Solyc01g006780.2.1	K4ASP4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006790.2	Solyc01g006790.2.1	Solyc01g006790.2.1	K4ASP5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006800.2	Solyc01g006800.2.1	Solyc01g006800.2.1	K4ASP6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006810.2	Solyc01g006810.2.1	Solyc01g006810.2.1	K4ASP7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006820.2	Solyc01g006820.2.1	Solyc01g006820.2.1	K4ASP8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006830.2	Solyc01g006830.2.1	Solyc01g006830.2.1	K4ASP9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006840.2	Solyc01g006840.2.1	Solyc01g006840.2.1	K4ASQ0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006850.1	Solyc01g006850.1.1	Solyc01g006850.1.1	K4ASQ1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006860.2	Solyc01g006860.2.1	Solyc01g006860.2.1	K4ASQ2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006870.2	Solyc01g006870.2.1	Solyc01g006870.2.1	K4ASQ3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006880.2	Solyc01g006880.2.1	Solyc01g006880.2.1	K4ASQ4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006890.2	Solyc01g006890.2.1	Solyc01g006890.2.1	K4ASQ5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006900.2	Solyc01g006900.2.1	Solyc01g006900.2.1	K4ASQ6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006910.2	Solyc01g006910.2.1	Solyc01g006910.2.1	K4ASQ7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006920.2	Solyc01g006920.2.1	Solyc01g006920.2.1	K4ASQ8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006930.2	Solyc01g006930.2.1	Solyc01g006930.2.1	K4ASQ9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006940.2	Solyc01g006940.2.1	Solyc01g006940.2.1	K4ASR0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006950.2	Solyc01g006950.2.1	Solyc01g006950.2.1	K4ASR1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006960.2	Solyc01g006960.2.1	Solyc01g006960.2.1	K4ASR2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006970.2	Solyc01g006970.2.1	Solyc01g006970.2.1	K4ASR3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006980.2	Solyc01g006980.2.1	Solyc01g006980.2.1	K4ASR4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g006990.2	Solyc01g006990.2.1	Solyc01g006990.2.1	K4ASR5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g007000.2	Solyc01g007000.2.1	Solyc01g007000.2.1	K4ASR6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g007010.2	Solyc01g007010.2.1	Solyc01g007010.2.1	K4ASR7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g007020.2	Solyc01g007020.2.1	Solyc01g007020.2.1	K4ASR8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g007030.2	Solyc01g007030.2.1	Solyc01g007030.2.1	K4ASR9	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g007040.2	Solyc01g007040.2.1	Solyc01g007040.2.1	K4ASS0	Uniprot/SPTREMBL	NONE	-	-	-
